Global ID,Use Case,Use Case ID,Coder1,Modifier1,Code1,Comment1,Time1,Coder2,Modifier2,Code2,Comment2,Time2,Concordance: Provenance Events identified (1st pass),Concordance: Regan Provenance Goals (1st pass),Used in concordance calculation: provenance + provenance tool use events (we do not consider trade-off tasks events),Resolved Modifier (2nd pass),Resolved Ragan Category (2nd pass),Resolved -new- Provenance Objects (2nd pass) ,"Opportunity, Tool/Unintended Use, Trade-off - FINAL CODE","Analytical_Provenance, Data_Provenance or Trade-off, Tool Use - FINAL CODE",Observed or Reported or Prompted or empty - (if it is Opportunity) - FINAL CODE,Resolved Ragan Category (or - if it is a task) - FINAL CODE,Tool or - if the tools are not used - FINAL CODE,Resoved Provenance Objects - FINAL CODE,Resoved Provenance Objects - further details for the objects FINAL CODE,Experiment Part - FINAL CODE
60,CS-ml,22,,,,,,AB,Trade-off,"Other - ranges=> decision boundaries or criteria, cut-off points",Trade-off related: mention datapoins below/above bisector (possible alternative to min/max),0:09:36,,,N,Trade-off,,"Interest criterion: Level 1: Threshold, Range, Boundary",Trade-off,Trade-off,,-,,Locate & characterize,"Level 1: Threshold, Range, Boundary",Reproduce Insight WoL
61,CS-ml,23,NB,Opportunity,Recall,"show sections/part of an exploration (see our work on scenarios, CHI2019/2020) people remember the structure of the exploration, 1st part, 2nd part etc.",0:10:02,AB,Oportunity,Recall,Trade-off related:Stated that they visited most dimensions (prompted to remember this),0:10:29,1,1,Y,Oportunity,Recall,Coverage: Dimension coverage,Opportunity,A_Provenance,-,Recall,,Coverage ,Level 1: keep track  of a specific  data dimension (one),Reproduce Insight WoL
62,CS-ml,24,,,,,,AB,Trade-off,Recall,Trade-off related:Stated that they visited most dimensions (prompted to remember this),0:10:29,,,N,Trade-off,,Coverage: Dimension coverage,Trade-off,Trade-off,,-,,Observe coverage,Level 1: keep track  of a specific  data dimension (one),Reproduce Insight WoL
63,CS-ml,25,NB,Opportunity,Recall,"""this was marked in my mind because it was the most intereting plot we analysed"" people likely to remember plots (shape?) of major plots they found intereting but not so accurately/easily the steps they took to get there",0:09:53,,,,,,0.5,0.5,Y,Oportunity,Recall,Focus/priority: Leve 2 - Most interesting plots visited,Opportunity,A_Provenance,-,Recall,,Focus & priority,Level 2 : Most interesting plots visited,Reproduce Insight WoL
64,CS-ml,26,NB,Reported,Dim count,"""if I remember correctly we visited all dimensions because I remmber these boxes [view_count] and bars [dimension_count].",0:10:25,AB,Reported,Dim count,"new caterogy Coverage under Replication or Recall? ""I remember the boxes and these barplots"" - refering to two Provenance vis to explain how he remembered that they covered all the dimensions",0:10:34,1,1,Y,Reported,Recall,Dim Count - why=> Coverage: Dimension coverage,Tool Use,Tool Use,Reported,Recall,Dim Count,Coverage ,Level 1: keep track  of a specific  data dimension (one),Reproduce Insight WL
65,CS-ml,27,NB,Reported,View count,"""if I remember correctly we visited all dimensions because i remmber these boxes [view_count] and bars [dimension_count]",0:10:25,AB,Reported,View count,-//-,0:10:34,1,1,Y,Reported,Recall,View Count - why=> Coverage: Dimension coverage,Tool Use,Tool Use,Reported,Recall,View Count,Coverage ,Level 2: keep track of data dimension coverage (two or more),Reproduce Insight WL
66.1,CS-ml,28,NB,Reported,Recall,"""if I remember correctly we visited all dimensions because I remmber these boxes [view_count] and bars [dimension_count].",0:10:25,AB,Reported,Other - remember coverage (Recall),-//-,0:10:34,1,1,Y,Reported,Recall,Coverage: Dimension coverage,Tool Use,Tool Use,Reported,Recall,View Count,Coverage,Level 2: keep track of data dimension coverage (two or more),Reproduce Insight WL
66.2,CS-ml,28,NB,Reported,Recall,"""if I remember correctly we visited all dimensions because I remmber these boxes [view_count] and bars [dimension_count].",0:10:25,AB,Reported,Other - remember coverage (Recall),-//-,0:10:34,1,1,Y,Reported,Recall,Coverage: Dimension coverage,Tool Use,Tool Use,Reported,Recall,Dim Count,Coverage,Level 2: keep track of data dimension coverage (two or more),Reproduce Insight WL
67,CS-ml,29,NB,Reported,Other Provenance Type,"Is it Recall, or a new type of provenance: track progress of exploraiton? ""in the first part of the exploration I was not able to keep track of what dimensions I analysed""",0:10:50,AB,Oportunity,Recall => merge with 14 Other phases,"Trade-off related: did not remember the dimensions visited in the first part of the exploration. Different ""Exploration phases"" may recuire different support or separate '""provenance histories).",0:10:48,1,1,Y,Reported,Recall,Coverage: Dimension coverage,Opportunity-new,A_Provenance,Reported,Recall,,Coverage,Level 1: keep track  of a specific  data dimension (one),Reproduce Insight WoL
68,CS-ml,30,,,,,,AB,Trade-off,Recall,"Trade-off related: did not remember the dimensions visited in the first part of the exploration. Different ""Exploration phases"" may recuire different support or separate '""provenance histories).",0:10:48,,,N,Trade-off,,Coverage: Dimension coverage,Trade-off,Trade-off,,-,,Observe coverage,Level 1: keep track  of a specific  data dimension (one),Reproduce Insight WoL
69,CS-ml,34,NB,Observed,Action Recovery,"""now I remember, we probably started from here!"" correcting starting point of the exploration. expert seems to confirm that provenance loaded from last session/history seems coherent with what they did last time",0:15:34,AB,Observed,Other - faulty memory,"(could fall under Recall) - after looking at colored splom ""now I remember, we probably started from here"". Did not remember correctly the feature (dimension & diagonal) they used to create the min/max selections. View count helped them identify the error.INTERESTING: could remember the strategy/process (06:27) but not the detailed dimensiion",0:15:41,1,0,Y,Observed,Action Recovery,Temporal exploration : Level 2: steps,Tool Use,Tool Use,Observed,Action Recovery,View Count,Exploration structure & steps,Level 1 : Steps,Reproduce Insight WL
70,CS-ml,36,NB,,View count,"expert appears to check ""view count"" but not very sure. Checking splom, where they saw in fact they made selections in a different diagonal than the one they initialy thought they used.",0:15:41,AB,Observed,Other - faulty memory: dimension (duplicate),"(could fall under Recall) - after looking at colored splom ""now I remember, we probably started from here"". Did not remember correctly the feature (dimension & diagonal) they used to create the min/max selections. View count helped them identify the error.INTERESTING: could remember the strategy/process (06:27) but not the detailed dimensiion",0:15:41,1,0,Y,Observed,Recall,View Count - why=> Temporal exploration: Level 2: steps,Tool Use,Tool Use,Observed,Recall,View Count,Exploration structure & steps,Level 1 : Steps,Reproduce Insight WL
71,CS-ml,38,NB,Opportunity,Recall,"Another task? Recall differences/similarities? May be experts remember the overall logic of the exploration; or it could be that they rationalising after the fact. ""we did something similar to the first part of the exploration but we created groups using a different feature"" experts remember similarities and differences between exploration scenarios they did.",0:15:54,,,,,,0.5,0.5,Y,Oportunity,Recall,Exploration structure: branching/alternative/refine,Opportunity,A_Provenance,-,Recall,,Exploration structure & steps,Branching/alternative/refine,Reproduce Insight WL
72,CS-ml,40,,,,,,AB,Reported,Recall => Other - thresholds,Trade-off related: interested in the ratio of points inside/outside the convex hull (I think this refers to their dimensions that are inside/outside a convex hull). Discussing this on top of a specific past selection,0:16:10,0.5,0.5,Y,Oportunity,Recall,"Interest criterion: Level 1: Threshold, Range, Boundary",Opportunity,A_Provenance,-,Recall,,Interest  zones,"Level 1: Threshold, Range, Boundary",Reproduce Insight WL
73,CS-ml,41,,,,,,AB,Trade-off,Recall,Trade-off related: interested in the ratio of points inside/outside the convex hull (I think this refers to their dimensions that are inside/outside a convex hull). Discussing this on top of a specific past selection,0:16:10,,,N,Trade-off,,"Interest criterion: Level 1: Threshold, Range, Boundary",Trade-off,Trade-off,,-,,Locate & characterize,"Level 1: Threshold, Range, Boundary",Reproduce Insight WL
74,CS-ml,42,NB,,Recall,SPLOM_count: they mostly used/visisted first two columns,0:16:37,AB,Observed,Other - focus,"(could fall under Recall) ""Looking at these plots I would say i mostly visited these columns"" (different/additional to the central views identified before seeing provenance). Using provenance to reflect on what they focused on.",0:16:34,1,0,Y,Observed,Recall,Focus/priority,Opportunity-new,A_Provenance,Observed,Recall,,Focus & priority,Level 2 : Remind focus,Reproduce Insight WL
75,CS-ml,43,NB,,View count,May be they used the view count here to say where they have explored the most.,0:16:37,AB,Observed,View count,-//-,0:16:34,1,1,Y,Observed,Recall,View Count - why=> Focus/priority,Tool Use,Tool Use,Observed,Recall,View Count,Coverage,Level 2: keep track of data dimension coverage (two or more),Reproduce Insight WL
76,CS-ml,47,,,,,,AB,Oportunity,Replication,"""First thing I want to do is repeat the analysis that we did last time "", but with some changes in the dataset.",0:20:21,0.5,0.5,Y,Oportunity,Replication,Exploration structure: branching/alternative/refine,Opportunity,A_Provenance,-,Replication,,Exploration structure & steps,Branching/alternative/refine,Reproduce Insight WL
77,CS-ml,48,NB,,Subset Exploration,repeat same task as lat time but focusing on less features and having model names now easily accessible.,0:20:38,,,,,,,,N,Trade-off,,Subset Exploration,Trade-off,Trade-off,,-,,Create branches & compare alternatives,,Open Explore
78,CS-ml,58,,,,,,AB,Trade-off,Subset exploration,Task: subset exploration. discuss the inner part of the chart and ignore data points at the edges,0:41:00,,,N,Trade-off,,"Interest criterion: Level 1: Threshold, Range, Boundary",Trade-off,Trade-off,,-,,Locate & characterize,"Level 1: Threshold, Range, Boundary",Open Explore
79,CS-ml,60,NB,Opportunity,Recall,where was I ? which view was I at just before,0:43:10,AB,?? Observed,Other - navigation/grounding,"""where was i? ah here"" - did they use the red border in the scatterplot matrix?",0:43:10,1,0,Y,Oportunity,Recall,Navigation,Opportunity,A_Provenance,-,Recall,,Exploration structure & steps,,Open Explore
80,CS-ml,62,,,,,,AB,Observed,Other - ranges,(Prompted) Trade-off related: Prompted by experimenter to look at min max of a query,0:44:01,,,N,Trade-off,,Min/Max,Trade-off,Trade-off,,-,Min/Max,Minimize & maximize,,Open Explore
81,CS-ml,63,NB,Trade-off,Min-Max,"PROMPTED: use of min/max for different features, considering each selection",0:44:05,AB,Observed,Min/Max bar,-//-,0:44:01,1,1,Y,Prompted,Recall,Min/Max Bar,Tool Use,Tool Use,Prompted,Recall,SelectionRange (Min/Max),Interest  zones,Level 2 : Selection for Min/Max one objective,Open Explore
82,CS-ml,66,,,,,0:00:00,AB,Oportunity,Other - ranges,Other - ranges. Trade-off related: mention datapoins below/above bisector (possible alternative to min/max),0:47:19,0.5,0.5,Y,Oportunity,Recall,Interest criterion: Level 2: Bisector,Opportunity,A_Provenance,-,Recall,,Interest  zones,Level 2: Bisector,Open Explore
83,CS-ml,67,NB,Trade-off,Subset Exploration,"checking where selection falls with regards to bisector, here close to top end. other could be: close to top, bottom, close, far, on top, under?",0:00:00,AB,Trade-off,Other,Other - ranges. Trade-off related: mention datapoins below/above bisector (possible alternative to min/max),0:47:19,,,N,Trade-off,,Interest criterion: Level 2: Bisector,Trade-off,Trade-off,,-,,Locate & characterize,Level 2: Bisector,Open Explore
84,CS-ml,69,NB,Opportunity,Meta-analysis,PROMPTED: is this a new analysis or an extended analysis to the previous one? when do you reset the history/provenance? when do you show past interactions/provenance? how to detect new analyses?,0:48:22,,,,,,0.5,0.5,Y,Prompted,Meta-Analysis,"Temporal exploration structure: Level 1: phases / scenario
",Opportunity-new,A_Provenance,Prompted,Meta-Analysis,,Exploration structure & steps,Level 2: phases / scenario,Open Explore
86,CS-ml,73,NB,,Subset Exploration,"select a cluster of data points, spatially close in one of the views",0:53:10,AB,,,Prompted to use intersections (true value) but also keep original queries (comparind intersections with different subsets).,,,,N,Trade-off,,Subset Exploration,Trade-off,Trade-off,,-,,Combine interest zones & dimensions,,Open Explore
87,CS-ml,74,NB,Trade-off,Other Tasks,"select a group of points that have the same X value but a range of different Y values Note: we saw that in wine case study, for same objective different / alternAtive ways ot reach the same objective (at least on one more objective) Need to name this task: exploring single objective alternatives?",0:55:08,AB,,,Discussing possible explanations and reasons behind behavior (eg choices of tweaked parameters) relateted to overfitting,,,,N,Trade-off,,Exploration structure: branching/alternative/refine,Trade-off,Trade-off,,-,,Create branches & compare alternatives,Branching/alternative/refine,Open Explore
88,CS-ml,76,NB,Trade-off,Subset Exploration,again locating a selection with regards to the bisector: spread. may be valid only for this view: no. training set vs. no. validation set?,0:55:54,AB,,Task: characterise wrt boundary/treshold,"""Looking again at the variables we are considering, this is more or less ..."",",0:51:34,,,N,Trade-off,,"Interest criterion: Level 1: Threshold, Range, Boundary",Trade-off,Trade-off,,-,,Locate & characterize,"Level 1: Threshold, Range, Boundary",Open Explore
89,CS-ml,80,NB,Trade-off,Subset Exploration,count number of points in one selection ... means the trade-off is important?,1:00:30,,,,,,,,N,Trade-off,,Interest criterion: Level 2: Dataset size,Trade-off,Trade-off,,-,,Locate & characterize,Level 2: Dataset size,Open Explore
90,CS-ml,81,NB,Opportunity,Meta-analysis,"- Decision boundaries used by logistic regressions are just straight lines or linear boundaries, is this why bisector is used? The decision boundary? What does it mean for trade-off analysis? Does this need to be defined a priori … detected automatically ?",01:01:04,AB,,Insight,"Trade-off related: ""Go to the shity ones"" (minizing one dimension and making a selection), but always in combination with orignial subsets (types of ML algorithms).",1:00:01,1,0,Y,Oportunity,Meta-Analysis,"Interest criterion: Level 1: Threshold, Range, Boundary",Opportunity,A_Provenance,-,Meta-Analysis,,Interest  zones,"Level 1: Threshold, Range, Boundary",Open Explore
91,CS-ml,83,NB,,Opportunity,"clear everything (selections), fresh start, new analysis need to clear history too?",1:03:56,AB,Oportunity,Other - coverage,task: subset exploration,1:03:18,,,N,Trade-off,,Compare alternatives,Trade-off,Trade-off,,-,,Create branches & compare alternatives,Compare alternatives,Open Explore
92,CS-ml,84,NB,Opportunity,Meta-analysis,"When to clear the history and start fresh? clear everything (selections), fresh start, new analysis need to clear history?",1:03:56,AB,Oportunity,Other - coverage,-//-,1:03:31,1,0,Y,Oportunity,Meta-Analysis,Exploration structure: branching/alternative/refine,Opportunity,A_Provenance,-,Meta-Analysis,,Exploration structure & steps,Branching/alternative/refine,Open Explore
93,CS-ml,85,NB,Trade-off,overlapping points of diff selections,"create groups - here model name, categorical",1:04:27,AB,Trade-off,Other - coverage,-//-,1:03:31,,,N,Trade-off,,cascade and refine (for selections),Trade-off,Trade-off,,-,,Cascade & refine,Cascade & Refine,Open Explore
94,CS-ml,88,NB,Trade-off,Subset Exploration,"explore worst solutions (other task is to explore best solutions): i.e. make selections and see what features look like in other views/other objectives. intersted to see: - how equally distributed are these selections - are they concentrated in one area (therefore more easily excluded?) not sure this works with Pareto fronts, as it is not possible to optimise one obj without sacrificing the other. Note this is not a PF dataset. Different tasks if we were dealing with PF?",1:06:53,AB,Oportunity,Other - ranges,-//-,1:05:00,1,0,Y,Oportunity,Recall,"Interest criterion: Level 1: Threshold, Range, Boundary",Opportunity,A_Provenance,-,Recall,,Interest  zones,"Level 1: Threshold, Range, Boundary",Open Explore
95,CS-ml,89,NB,Trade-off,Subset Exploration,explore intersections between trade-off selections; here: how big is the intersection between each classifier and worst falls? that we have in the dataset. what do we call this task?,1:07:39,AB,Trade-off,Task,-//-,1:05:00,,,N,Trade-off,,Subset Exploration,Trade-off,Trade-off,,-,,Locate & characterize,,Open Explore
96,CS-ml,90,NB,Trade-off,Subset Exploration,"name selections? so far they are groups in one objectives. name trade-offs? e.g., intersections.",1:08:39,,,,,,,,N,Trade-off,,Subset Exploration,Trade-off,Trade-off,,-,,Locate & characterize,,Open Explore
97,CS-ml,93,NB,Opportunity,Recall,"Using bisector views helps remember exploration/what they did, may be highlight those views with clear bisector? View: train_f1 vs valid_f1, but is the bisector idea specific to this dataset / ML example?",1:13:58,AB,Oportunity,Other - Recall max,Is it min-max? 5-6 out of 7 in terms of remembering previous analysis and strategy of looking at biosector line,1:12:50,1,1,Y,Oportunity,Recall,Interest criterion: Level 2: Bisector,Opportunity,A_Provenance,-,Recall,,Interest  zones,Level 2: Bisector,Discussion
98,CS-ml,94,NB,Opportunity,Recall,once he saw thumbnails (SPLOM proevnance?) he was able to remember much better what he did in the last session/s,1:15:06,AB,Oportunity,Other - Recall phases,"(Recall phases) Easy to remember the first part of the past session, but not the second - different phases of exploration or exploration stories may require different support.",1:14:51,1,1,Y,Oportunity,Recall,Temporal exploration structure: Level 1: phases,Opportunity,A_Provenance,-,Recall,,Exploration structure & steps,Level 2: phases / scenario,Discussion
99,CS-ml,95,NB,Opportunity,Recall,"provenance for recall needed more when exploration is open-ended (exploration) rather than focused (exploitation): ""first session was easier just because we analysed something that was probably more interesting for us"" easiwer to remember senarios where they found something interesting (and/or the research questions were interesting), rather than when the exploration was open-ended it seems (or too exploratory).",1:15:38,AB,Reported,Recall (from promted Replication),"Looking at the thumbnails (splom) made it a lot easier to remember the second phase. UNCLEAR if it is the borders at the at the begining, but then he said ""made it a lot easier to remeber by looking at the past history"" and then confirmed that it was the borders (frequency of each view).",1:15:30,1,1,Y,Reported,Recall,Temporal exploration structure: Level 1: phases,Opportunity-new,A_Provenance,Reported,Recall,,Exploration structure & steps,Level 2: phases / scenario,Discussion
100,CS-ml,96,NB,Reported,View count,"""to see frequency of [visits for] each view""",1:16:28,AB,Reported,View count,-//-,1:15:30,1,1,Y,Reported,Recall,View Count - why=> coverage,Tool Use,Tool Use,Reported,Recall,View Count,Coverage,Level 2: keep track of data dimension coverage (two or more),Discussion
101,CS-ml,96.2,,-//-,-//-,-//-,0:00:00,AB,-//-,-//-,-//-,-//-,,,N-duplicate,Reported,Recall,View Count - Why =>Focus/priority,Tool Use,Tool Use,Reported,Recall,View Count,Focus & priority,Level 2 : Frequency of visits,Discussion
102,CS-ml,97,,,,,,AB,Reported,Presentation,Save in favorites a zoomed-in view,1:17:45,0.5,0.5,Y,Reported,Presentation,Favorites,Tool Use,Tool Use,Reported,Presentation,Favorites,Interest  zones,Level 2 : Interesting view,Discussion
103,CS-ml,99,NB,Reported,Replication,replicate what they did last time (to increment analysis with new piece of info - model type) replicate the analysis related to the most interesting research question >>> this event could actually go up to the section where the reproduction happened,1:18:46,AB,Oportunity,Replication - Other? refinement,"Strategy of 2nd session to replicate the analysis, but because a new dimension was added so wanted to redo steps in new context to complete the analysis.",1:18:45,1,1,Y,Reported,Replication,Exploration structure: branching/alternative/refine,Opportunity-new,A_Provenance,Reported,Replication,,Exploration structure & steps,Branching/alternative/refine,Discussion
104,CS-ml,102,NB,Opportunity,Meta-analysis,"selection of data dimensions; rationale for doing this may be interesting to note as additional provenance e.g., here they chose dimeniosn relevant to research questions; dimensions people tend to think are not related (e.g., number of samples and number of features), in order to verify it is true. they are not related to the outcome (f1 score)",1:23:38,AB,Trade-off,Task,Task: subset exploration-//-,1:23:30,,,N,Trade-off,,Subset Exploration,Trade-off,Trade-off,,-,,Rank & prioritize,,Discussion
105,CS-ml,104,NB,Opportunity,Replication,"not sure if replication applies here: re-apply analysis steps (or simplified version of it) to a related dataset (sharing same schema?) opportunity to apply same steps they did in this exploration to other features of the dataset (curtoisis, skewness etc), but risk is that it might nont have a meaning/difficult to interpet views.",1:27:09,AB,Prompted,Replication,"When asked if they could reuse analysis steps in other datasets, there could be something but they were not sure. Ex adding dimensions or looking at computed measures (like curtosis and skewness) and see if they affect ML.",1:25:00,1,1,Y,Prompted,Replication,Exploration structure: branching/alternative/refine,Opportunity-new,A_Provenance,Prompted,Replication,,Exploration structure & steps,Branching/alternative/refine,Discussion
106,CS-ml,106,NB,Reported,Recall,manual provenance: saved the log and took 2 pictures,1:30:30,AB,Prompted,Other - annotation,"SPLOM chart a landmark. Externilization, annotation, and reasons behind it. They took screenshots (but not on paper), relying on recording and the plot they were interested in was a landmark for the exploration.",1:30:00,1,0,Y,Reported,Recall,Inspiration,Opportunity-new,A_Provenance,Reported,Meta-Analysis,,Exploration  approach,,Discussion
107,CS-ml,106.2,,-//-,-//-,-//- (longer event starting at 5229),0:00:00,AB,,-//-,-//-,,,,N-duplicate,Reported,Recall,Navigation,Tool UnintendedUSE,Tool Use,Reported,Recall,View Count,Exploration structure & steps,,Discussion
108,CS-ml,108,NB,Opportunity,Presentation,"could be useful to take notes if views are harder [process too complicated to get there, e.g., multipole selections] add anotations directly on the figure",1:32:50,AB,Reported,"Other - annotation, presentation",Also mention need to take notes in the tool/plot. The other partener mentioned maybe this is too much (for the tool and/or the notetaker),1:33:00,1,1,Y,Oportunity,Presentation,Annotation,Opportunity,A_Provenance,-,Presentation,,Annotation,,Discussion
109,CS-w,68,NB,Opportunity,Recall,"related to insights. remembered an insight from last time, but was not sure. ""we wanted to verify whether Azote had a positive effect on esters"" ""if we increase azote we get more esters and we reach the max for superior alcools, or something like this I think""",0:07:27,MC,Opportunity,,,0:09:20,1,1,Y,Opportunity,Recall,Validation / Verification,Opportunity,A_Provenance,-,Recall,,Verification & validation,,Reproduce Insight WoL
110,CS-w,69,NB,Opportunity,Replication,"reproducing initial step we were looking for ""N0"" against ""IAA"" I think",0:08:35,,,,,,0.5,0.5,Y,Opportunity,Replication,Temporal Exploration Structure : Level 2 : Steps (1st Step),Opportunity,A_Provenance,-,Replication,,Exploration structure & steps,Level 1 : Steps,Reproduce Insight WoL
111,CS-w,70,NB,,Bugs and Features,idea of trying to find first step of the exploration ... provenance vis as we have it on the splom does not show you the steps (what they first selected then later etc ...). Is there a way to show this temporal aspect of navigation in the SPLOM itself?,0:09:07,,,,,,0.5,0.5,Y,Opportunity,Recall,Temporal Exploration Structure : Level 2 : Steps,Opportunity,A_Provenance,-,Recall,,Exploration structure & steps,Level 1 : Steps,Reproduce Insight WoL
112,CS-w,71,,,,,,MC,Opportunity,,,0:11:20,0.5,0.5,Y,Opportunity,Recall,Temporal Exploration Structure : Level 2 : Steps,Opportunity,A_Provenance,-,Recall,,Exploration structure & steps,Level 1 : Steps,Reproduce Insight WoL
113,CS-w,72,NB,Opportunity,Recall,remember trade-off criteria to optimise against (here combined 3 dimensions with equal weights),0:13:12,,,,,,0.5,0.5,Y,Opportunity,Recall,Focus & Priority : Level 2 : combined dimension,Opportunity,A_Provenance,-,Recall,,Focus & priority,Level 2 : Combined dimension,Reproduce Insight WoL
114,CS-w,73,NB,Trade-off,Other Tasks,comibine objectives and specify weights,0:14:51,,,,,,,,N,Trade-off,,Other Task : Combine Dimensions,Trade-off,Trade-off,,-,,Combine interest zones & dimensions,Combine Dimensions,Reproduce Insight WoL
