Global ID,Use Case,Use Case ID,Coder1,Modifier1,Code1,Comment1,Time1,Coder2,Modifier2,Code2,Comment2,Time2,Concordance: Provenance Events identified (1st pass),Concordance: Regan Provenance Goals (1st pass),Used in concordance calculation: provenance + provenance tool use events (we do not consider trade-off tasks events),Resolved Modifier (2nd pass),Resolved Ragan Category (2nd pass),Resolved -new- Provenance Objects (2nd pass) ,"Opportunity, Tool/Unintended Use, Trade-off - FINAL CODE","Analytical_Provenance, Data_Provenance or Trade-off, Tool Use - FINAL CODE",Observed or Reported or Prompted or empty - (if it is Opportunity) - FINAL CODE,Resolved Ragan Category (or - if it is a task) - FINAL CODE,Tool or - if the tools are not used - FINAL CODE,Resoved Provenance Objects - FINAL CODE,Resoved Provenance Objects - further details for the objects FINAL CODE,Experiment Part - FINAL CODE
115,CS-w,74,NB,Trade-off,Other Tasks,"compare alternative solutions create and compare two selections with same combined target, but one that is either expensive (azote) and the other economic (the lowest possible azote that gives an acceptable results - mid range is considered acceptable here).",0:15:40,,,,,,,,N,Trade-off,,Other Task : Compare Alternatives,Trade-off,Trade-off,,-,,Create branches & compare alternatives,Compare Alternatives,Reproduce Insight WoL
116,CS-w,75,NB,Opportunity,Other Provenance Type,recall: alternative recipes/paths to reach the same objectives - related to previous task The task is to find an explanation for this: here it turns out to be the strategy for managing temperature. ==> special temperature management can help compensate on lack/minimisation of another objective.,0:15:40,,,,,,0.5,0.5,Y,Opportunity,Recall,Exploration structure : branching/alternative/refine,Opportunity,A_Provenance,-,Recall,,Exploration structure & steps,Branching/alternative/refine,Reproduce Insight WoL
117,CS-w,76,NB,Opportunity,Other Provenance Type,"Remind min-max on avait minimiser le temps de fermentation ""dans un autre critere""",0:16:41,,,,,,0.5,0.5,Y,Opportunity,Recall,Min/Max,Opportunity,A_Provenance,-,Recall,Min/Max,Interest  zones,Level 2 : Selection for Min/Max one objective,Reproduce Insight WoL
118,CS-w,77,NB,Opportunity,Other Provenance Type,"remind size of selection (in terms of number of solutions/data points in a selection or criteria). we took very small regions, ... - seems different form last time, when they took larger zones",0:16:57,,,,,,0.5,0.5,Y,Opportunity,Recall,Interest Criteria : Level 2 : Size of Trade-off Set,Opportunity,A_Provenance,-,Recall,,Interest  zones,Level 2 : Size of Trade-off Set,Reproduce Insight WoL
119,CS-w,78,NB,Opportunity,Other Provenance Type,"Recall min/max recall of steps they took to make the successive selections ""c'etait le temps de fermentaiton ou l'energy, je ne rappelle plus""",0:18:13,,,,,,0.5,0.5,Y,Opportunity,Recall,Insight : Temporal Exploration Structure : Level 2 : Steps,Opportunity,A_Provenance,-,Recall,,Exploration structure & steps,Level 1 : Steps,Reproduce Insight WoL
120,CS-w,79,NB,Trade-off,Other Tasks,Calculate difference in one dimension/parameter of the model (here temperature) for two different selections (the 2 different selections correspond to two different trade-offs /objectives). differences in temperature for the two different selections (green and red),0:19:34,,,,,,,,N,Trade-off,,Other Task : Compare Alternatives,Trade-off,Trade-off,,-,,Create branches & compare alternatives,Compare Alternatives,Reproduce Insight WoL
122,CS-w,81,NB,Trade-off,Other Tasks,track range of values in another dimension that correspond to a current selection/trade-off,0:21:07,,,,,,,,N,Trade-off,,Subset exploration : Cascade & Refine,Trade-off,Trade-off,,-,,Cascade & refine,Cascade & Refine,Reproduce Insight WoL
123,CS-w,82,NB,Opportunity,Recall,recall what each dimension means (especially that names are shotcuts/abbreviations),0:22:39,MC,,Other Tasks,,0:23:46,1,0,Y,Opportunity,Recall,Data Semantics : Data provenance : Dimension,Opportunity,D_Provenance,-,Recall,,Data semantics & origin,Semantics of Dimension,Reproduce Insight WoL
124,CS-w,83,NB,,Meta-analysis,"it is true that we had a approach where we previously had 3 or 4 consecutive steps to select the points/zones, and 'recentree sur quelques recettes"", but overall we find the same results",0:23:39,,,,,,0.5,0.5,Y,Opportunity,Meta-analysis,Temporal Exploration Structure : Level 2 : Steps,Opportunity,A_Provenance,-,Meta-Analysis,,Exploration structure & steps,Level 1 : Steps,Reproduce Insight WoL
125,CS-w,84,NB,Trade-off,Other Tasks,rank winning solutions,0:26:12,,,,,,,,N,Trade-off,,Other Tasks : Rank Solutions,Trade-off,Trade-off,,-,,Rank & prioritize,Rank Solutions,Reproduce Insight WoL
126,CS-w,85,NB,Observed,Replication,trying to reproduce the insight using the same steps as las time,0:31:30,MC,Opportunity,,,0:31:29,1,1,Y,Opportunity : Observed,Replication,Insight : Temporal Exploration Structure : Level 2 : Steps,Opportunity,A_Provenance,Observed,Replication,,Exploration structure & steps,Level 1 : Steps,Reproduce Insight WoL
127,CS-w,86,NB,Trade-off,Other Tasks,"Prompted, observed name trade-off change name of selection to something more meaningful",0:31:46,,,,,,,,N,Trade-off : Prompted,,Bugs and Features,Trade-off,Trade-off,Prompted,-,,Locate & characterize,,Reproduce Insight WoL
128,CS-w,87,NB,Trade-off,Other Tasks,"based on an existing selection (which optimises one/two criteria), minimiase another criterion",0:32:01,,,,,,,,N,Trade-off,,Subset Exploration : Cascade,Trade-off,Trade-off,,-,,Cascade & refine,Cascade & Refine,Reproduce Insight WoL
129,CS-w,88,NB,Trade-off,Other Tasks,name trade-off Naming a selection/optimum: final result,0:32:24,,,,,,,,N,Trade-off,,Bugs and Features,Trade-off,Trade-off,,-,,Locate & characterize,,Reproduce Insight WoL
130,CS-w,89,NB,Opportunity,Other Provenance Type,"Recall min/max forgot what a given selection means: what it tries to maximise/minimise, and on how many criteria.",0:33:14,,,,,,0.5,0.5,Y,Opportunity,Recall,Min/Max,Opportunity,A_Provenance,-,Recall,Min/Max,Interest  zones,Level 2: Selection for Min/Max two or more dimensions,Reproduce Insight WoL
131,CS-w,90,NB,Observed,Replication,reproducing intersection between two selections/criteria,0:36:19,,,,,,,,N,Observed,,Execution Task : Create Selection,Trade-off,Trade-off,Observed,-,,Combine interest zones & dimensions,Create Selection,Reproduce Insight WoL
132,CS-w,91,NB,Opportunity,Other Provenance Type,"Recall range/min-max how restraint is the winning area (ranges acorss different objectives), not only in terms of number of points but also in terms of range of values",0:38:24,,,,,,0.5,0.5,Y,Opportunity,Recall,Interest Criteria : Level 1 : Range,Opportunity,A_Provenance,-,Recall,,Interest  zones,Level 1 : Range,Reproduce Insight WoL
133,CS-w,92,NB,Reported,Recall,recall the origin of a selection you know that optimum is the intersection of colored selection so and so .... also because you can give them a name,0:39:43,,,,,,0.5,0.5,Y,,Presentation,Annotate,Tool UnintendedUSE,Tool Use,Observed,Recall,Query-Label,Data semantics & origin,,Reproduce Insight WoL
134,CS-w,93,NB,Observed,Recall,dimension_count confirmed that what dimension count (which dimenison were mostly visisted) is coherent,0:45:43,,,,,0:46:12,0.5,0.5,Y,Observed,Recall,Coverage : Level 1 : Dimension Coverage,Tool Use,Tool Use,Observed,Recall,Dim Count,Coverage ,Level 1: keep track  of a specific  data dimension (one),Reproduce Insight WL
135,CS-w,94,NB,Provenance,Other Provenance Type,"confirm mental model of past exploraiton? in particular the critera they created manually. confirmed that they did well with creating the ""criteres"" that they did (seem to be the same) I think here ""criteres"" mean the combined dimensions",0:46:00,MC,Reported,Evaluation,,0:45:43,1,0,Y,Reported,Recall,Priority & Focus : Level 2 : Combined Dimensions (old Exploration Structure),Tool Use,Tool Use,Reported,Recall,GENERAL - Load past history (in particular the Combined Dimensions that were interested in),Focus & priority,Level 2 : Combined dimension,Reproduce Insight WL
136,CS-w,95,NB,-//-,-//-,-//-,0:46:00,,,,,,,,N-duplicate,Reported,Meta-analysis,Evaluate/Reflect : Exploration Approach : Reflect Positive,Tool Use,Tool Use,Reported,Meta-Analysis,GENERAL - Load past history (favorable view of past exploration),Exploration  approach,Reflect Positive,Reproduce Insight WL
137,CS-w,96,,,,,,MC,Reported,Recall,,0:46:22,0.5,0.5,Y,Reported,Recall,Temporal Exploration Structure : Level 2 : Steps,Opportunity-new,A_Provenance,Reported,Recall,,Exploration structure & steps,Level 1 : Steps,Reproduce Insight WL
138,CS-w,97,NB,Observed,Other Provenance Type,Recall - combined criteria (that describes one trade-off between power and energ consumption) on arrive a se rappeler ... j'avais oublie qu'on a fait ca (the energy criteria) This criteria corresponds to trade-off between power (pmax) and engery consumption.,0:46:27,,,,,,0.5,0.5,Y,Observed,Recall,Focus & Priority : Level 2 : combined dimension,Tool Use,Tool Use,Reported,Recall,GENERAL - Load past history (in particular the Combined Dimensions that were interested in),Focus & priority,Level 2 : Combined dimension,Reproduce Insight WL
139,CS-w,98,NB,,Other Provenance Type,confirm mental model using favourite allowed them to confirm the (insight) > optimal set/results (view) that they found earlier. this is what we had done earlier,0:48:35,MC,Reported,Meta-analysis,,0:48:41,1,0,Y,Reported,Meta-analysis,Evaluate/Reflect : Exploration Approach : Reflect Positive,Tool Use,Tool Use,Reported,Meta-Analysis,Favorites,Exploration  approach,Reflect Positive,Reproduce Insight WL
140,CS-w,99,NB,Opportunity,Recall,colors and semantics: interesting that they also used the same colors as last time (red and green),0:48:42,MC,Reported,Meta-analysis,,0:48:43,1,0,Y,Reported,Meta-analysis,Evaluate/Reflect : Exploration Approach : Reflect Negative,Opportunity-new,A_Provenance,Reported,Meta-Analysis,,Exploration  approach,Reflect Negative,Reproduce Insight WL
141,CS-w,100,,,,,,MC,Reported,Meta-analysis,,,0.5,0.5,Y,Reported,Meta-analysis,Evaluate/Reflect : Exploration Approach : Reflect Negative,Opportunity-new,A_Provenance,Reported,Meta-Analysis,,Exploration  approach,Reflect Negative,Reproduce Insight WL
142,CS-w,101,NB,Opportunity,Other Provenance Type,"remind min-max in favourite they had a view with 3 selections, whereas they could remember what the green and red selections were (they saw them in the final insight view), they could not remember what they optimised for for the orange selection what each selection corresonds to in terms of what it optimised (what it minimised and what it maximised) NOTE that this information could be accessed via the min-max-mid provenance vis, but this feature was not introduced yet.",0:48:42,,,,,,0.5,0.5,Y,Opportunity,Recall,Min/Max,Opportunity,A_Provenance,-,Recall,Min/Max,Interest  zones,Level 2 : Selection for Min/Max one objective,Reproduce Insight WL
143,CS-w,102,,,,,,MC,Reported,Recall,,0:49:31,0.5,0.5,Y,Reported,Recall,Temporal Exploration Structure : Level 2 : Steps,Opportunity-new,A_Provenance,Reported,Recall,,Exploration structure & steps,Level 1 : Steps,Reproduce Insight WL
144,CS-w,103,NB,Opportunity,Other Provenance Type,"Recall min-max Clicked on cyan selection to see what it is about ; what it minimises and what it maximises ... may be if range feature was explained to them they would not have looked at the .csv export? I would say even, need to remind them in which view this selection/criteria/trade-off was created (it will have an easier / more identifiable shape in the view where it was crated).",0:50:13,,,,,,0.5,0.5,Y,Opportunity,Recall,Min/Max,Opportunity,A_Provenance,-,Recall,Min/Max,Interest  zones,Level 2 : Selection for Min/Max one objective,Reproduce Insight WL
145,CS-w,104,NB,Observed,Other Provenance Type,"PROMPTED: confirm mental model difference between last time and now is that last time they made bigger selections, here they were more focused (hence in the insight view, you can see smaller y-ranges for the red and green selections), but the idea is the same.",0:52:33,MC,Reported,Meta-analysis,,0:52:36,1,1,Y,Observed : Prompted,Meta-Analysis,Evaluate/Reflect : Exploration Approach,Tool UnintendedUSE,Tool Use,Prompted,Meta-Analysis,Query-SIZE,Exploration  approach,Reflect Positive,Reproduce Insight WL
146,CS-w,105,NB,Observed,Action Recovery,PROMOTED use favourite to recover a selection that was lost by mistake,0:53:21,,,,,,0.5,0.5,Y,Observed : Prompted,Action Recovery,Interest Criteria : Level 2 : Selection,Tool UnintendedUSE,Tool Use,Prompted,Action Recovery,Favorites,Interest  zones,Level 2 : Selection,Reproduce Insight WL
147,CS-w,106,NB,Observed,Action Recovery,"second time, recoving old selection lost by error",0:53:56,,,,,,0.5,0.5,Y,Observed,Action Recovery,Interest Criteria : Level 2 : Selection,Tool UnintendedUSE,Tool Use,Observed,Action Recovery,Favorites,Interest  zones,Level 2 : Selection,Open Explore
148,CS-w,107,NB,Provenance,Other Tasks,prompted - remove provenance data / reset,0:57:28,,,,,,,,N,Prompted,,Other Tasks : Branching,Trade-off,Trade-off,Prompted,-,,Create branches & compare alternatives,Branching/alternative/refine,Open Explore
149,CS-w,108,NB,Trade-off,Other Tasks,"decide on primary criteria (most important one?) which tend to be larger than the consecutive selections: may be part of execusion task, but seems important to decide first range of selection (since later ones will be reducing the intial selection based on other criteria). Their approach seems cascading ... so refining selections as they add another criteria, in order to get to the final winning selection. Other approaches may exist? here they decided to minimise tfm, and maximise aromas/esters.",0:58:55,,,,,,,,N,Trade-off,,Subset exploration : Cascade & Refine,Trade-off,Trade-off,,-,,Cascade & refine,Cascade & Refine,Open Explore
150,CS-w,109,NB,Trade-off,Other Tasks,"refine a primary criteria based on a secondary criteria: created another selection, within the original selection/tradeoff which tries to now (setp 2) to minimise one of the higher alcohols.",1:00:15,,,,,,,,N,Trade-off,,Subset exploration : Cascade & Refine,Trade-off,Trade-off,,-,,Cascade & refine,Cascade & Refine,Open Explore
151,CS-w,110,NB,Trade-off,Other Tasks,"refine a secondary criteria based on a terciary criteria: now we should not use a lot of energy ""au total""",1:00:30,,,,,,,,N,Trade-off,,Subset exploration : Cascade & Refine,Trade-off,Trade-off,,-,,Cascade & refine,Cascade & Refine,Open Explore
152,CS-w,111,NB,,Excecution Tasks,intersection between 3rd selection and 2nd selection,1:01:12,,,,,,,,N,Trade-off,,Subset exploration : Cascade & Refine,Trade-off,Trade-off,,-,,Cascade & refine,Cascade & Refine,Open Explore
153,CS-w,112,NB,Observed,Group origin,Usure - recall orign of a selection: not sure but could be that they noticed origin of the brown selection is the intersetion between the red and organe selection.,1:01:29,,,,,,0.5,0.5,Y,Observed,,Group Origin - why=> Data Semantics ?,Tool Use,Tool Use,Observed,Recall,Query-Group Origin,Data semantics & origin,Semantics of selection,Open Explore
154,CS-w,113,NB,Observed,Action Recovery,"a selection was removed by mistake, history album allows to recover that selection.",1:03:04,,,,,,0.5,0.5,Y,Observed,Action Recovery,Interest Criteria : Level 2 : Selection,Tool Use,Tool Use,Observed,Action Recovery,History,Interest  zones,Level 2 : Selection,Open Explore
155,CS-w,114,NB,Opportunity,Other Provenance Type,"reproduce a lost selection/criteria/trade-off ""what did we do"" when they lost the brown selection, they forgot how they actually made it: i.e. which view they worked on and what they tried to minimise/maximise.",1:03:39,,,,,,0.5,0.5,Y,Opportunity,Reproduce,Temporal Exploration Structure : Level 2 : Steps,Opportunity,A_Provenance,-,Replication,,Exploration structure & steps,Level 1 : Steps,Open Explore
156,CS-w,115,NB,Observed,Action Recovery,recovery of the lost selection using view count feature: [based on their mouse hover but then they confirmed they use this feature] looks like he was consulting the views with the two red squares (SPLOM) to try to recover the selection,1:03:43,,,,,,0.5,0.5,Y,Observed,Action Recovery,Interest Criteria : Level 2 : Selection,Tool UnintendedUSE,Tool Use,Observed,Action Recovery,View Count,Interest  zones,Level 2 : Selection,Open Explore
157,CS-w,116,,,,,,MC,bug,Action Recovery,,1:03:53,0.5,0.5,Y,Observed,Reproduce,Temporal Exploration Structure : Level 2 : Steps,Tool Use,Tool Use,Observed,Action Recovery,History,Exploration structure & steps,Level 1 : Steps,Open Explore
158,CS-w,117,NB,Opportunity,Other Provenance Type,remind me number of soulutions in (current) optimal set: how many solutions in one selection / end of trade-off analysis,1:06:27,,,,,,0.5,0.5,Y,Opportunity,Recall,Interest Criteria : Level 2 : Size of Trade-off Set,Opportunity,A_Provenance,-,Recall,,Interest  zones,Level 2 : Size of Trade-off Set,Open Explore
159,CS-w,118,NB,Reported,Action Recovery,when you have the history log you could recover/find where you were/are even when you made mistakes,1:06:41,,,,,,0.5,0.5,Y,Reported,Action Recovery,Temporal Exploration Structure : Level 2 : Steps,Tool Use,Tool Use,Reported,Action Recovery,GENERAL - Load past history,Exploration structure & steps,Level 1 : Steps,Open Explore
160,CS-w,119,NB,Provenance,Other Provenance Type,"Recall navigation you manage to find ""par ou tu es passee"". ""ca sert comme béquille"" , an aid",1:06:51,,,,,,0.5,0.5,Y,Observed,Action Recovery,Temporal Exploration Structure : Level 2 : Steps,Tool Use,Tool Use,Observed,Action Recovery,View Count,Exploration structure & steps,Level 1 : Steps,Open Explore
161,CS-w,120,NB,,Min-Max,seems have used min/max/mid range provenance tool,1:08:00,MC,,Min-Max,,1:08:27,1,1,Y,,,Min/Max,Tool Use,Tool Use,Observed,Recall,SelectionRange (Min/Max),Interest  zones,Level 1 : Selection for Min/Max one objective,Open Explore
162,CS-w,121,NB,,Min-Max,not used a lot of engery --- seen from min-max tool,1:08:31,,,,,,0.5,0.5,Y,,,Min/Max,Tool Use,Tool Use,Observed,Recall,SelectionRange (Min/Max),Interest  zones,Level 2 : Selection for Min/Max one objective,Open Explore
163,CS-w,122,NB,Opportunity,Other Provenance Type,"more info on a selection/criteria values (more than min-max etc): values of the range. Not only show min-max-mid, but a histogram to show the actual values (range) big dispersion in temperatures for this winning selection. >>> consulting the data table. Is this not visible in the min-max table or they just wanted to verify (check the actual values).",1:09:42,MC,,Other,,1:10:14,1,1,Y,Opportunity,Recall,Interest Criteria : Level 2 : Distribution,Opportunity,A_Provenance,-,Recall,,Interest  zones,Level 2 : Distribution,Open Explore
164,CS-w,123,NB,Opportunity,Other Provenance Type,"Alternatives: compare profiles of different solutions (how close or different are the solutions wrg to different criteria?)? diversity vs. uniformity. >>trade-off specific. eg., how close are the temperature profiles, how different are the pmax values for the different solutions? --- or, show overview of multiple criteria/parameters at a glance, e.g., trajectory of temporaly variables as a line chart? (here temperature)",1:10:08,,,,,,0.5,0.5,Y,Opportunity,Reproduce,Exploration Structure : branching/alternative/refine,Opportunity,A_Provenance,-,Replication,,Exploration structure & steps,Branching/alternative/refine,Open Explore
165,CS-w,124,NB,Reported,View count,">>> this is more for a quote we can use in the paper: red squares on splom (view count): ""tu arrives a suive le trace que tu as suivie""",1:11:50,MC,Reported,Recall,,1:11:53,1,0,Y,Reported,,View Count - Why==> Coverage,Tool Use,Tool Use,Reported,Recall,View Count,Coverage,Level 2: keep track of data dimension coverage (two or more),Open Explore
166,CS-w,125,,,,,,MC,Reported,Recall,,,0.5,0.5,Y,Reported,Recall,Interest Criteria: Level 2 : Selection,Opportunity-new,A_Provenance,Reported,Recall,,Coverage ,Level 2: keep track of data dimension coverage (two or more),Open Explore
167,CS-w,126,NB,Reported,Meta-analysis,"preparation --- how much of provenance is supported by the tool and how much of it is taken care of by the experts through note taking for instance? le plan d'attack on le prepare en avance (what criterias to create and what they mean), they acutally prepared these before the meeting on paper board. but sometimes you try things without preparation, but if you have an issue (remembering what you need to do), undo could be useful ...",1:12:05,,,,,,0.5,0.5,Y,Opportunity,Presentation,Annotation,Opportunity,A_Provenance,-,Presentation,,Annotation,,Open Explore
168,CS-w,127,NB,Reported,Other Provenance Type,"priority/focus ""historique te permet de voir quels sont les principaux criteres que tu as regardé : this idea of prioritisation, and need to remember this prioritisation.""",1:12:59,,,,,,0.5,0.5,Y,Reported,Recall,Focus & Priority : Level 2 : multiple criteria,Opportunity-new,A_Provenance,Reported,Recall,,Focus & priority,Level 2 : Multiple criteria,Open Explore
169,CS-w,128,NB,Opportunity,Other Provenance Type,Recall temporality/chronology I think they can remember the important ceriteria but not the order in which they consulted them,1:13:13,MC,Observed,Recall,,1:13:19,1,1,Y,Opportunity,Reproduce,Temporal Exploration Structure : Level 2 : Steps,Opportunity,A_Provenance,-,Replication,,Exploration structure & steps,Level 1 : Steps,Open Explore
170,CS-w,129,NB,Opportunity,Other Provenance Type,Recall navigation? more like process/approach favourites are useful to remember the insight (but I think with selections) they can also help remember 'la demarche'. when they saw the green and red selections they remembered what criteria/prioritisations they did to get to this insight.,1:14:16,,,,,,0.5,0.5,Y,Opportunity,Recall,Focus & Priority : Level 2 : multiple criteria,Opportunity,A_Provenance,-,Recall,,Focus & priority,Level 2 : Multiple criteria,Open Explore
171,CS-w,130,NB,Opportunity,Other Provenance Type,"recall winning trade-off solutions may be the idea here is not just to show all selections, but to show / highlight the winning selection/set of solutions from a previous exploration. currently we have all selections but the winning selection is not particularly visible (they have to dig to find it)",1:18:49,,,,,,0.5,0.5,Y,Opportunity,Recall,Interest Criteria : Level 1 : Selection,Opportunity,A_Provenance,-,Recall,,Interest  zones,Level 1 : Selection,Discussion
172,CS-w,131,NB,Opportunity,Other Provenance Type,"Validation of know correlations / validation of the dataset--- this can be either recall or replicate (on user demand). Experts confirmed that they might be interested in this ""peut etre aussi"" show that the experts have validated known facts of their domain in the explored data (can save them time so they do not have to do it again), or may be even a quicker way to show these validation views.",1:28:24,MC,"Trade-off, Reported",,,1:29:40,1,0,Y,Opportunity,Replication,Validation & Verification,Opportunity,A_Provenance,-,Replication,,Verification & validation,,Discussion
173,CS-w,132,NB,-//-,-//-,-//-,1:28:24,MC,"Trade-off, Reported",,,,,,N,Opportunity,Trade-off Task,Validation & Verification ???,Trade-off,Trade-off,-,-,,"Find clusters, correlations & outliers",,Discussion
174,CS-w,133,NB,Opportunity,Other Provenance Type,"Remind what constitutes an interest criterion tracking intersting views automatically may be challenging as even experts cannot quantify exactly what constitues an interesting parttern (e.g., in terms of correlation coefficient etc). NB (reformulated from what experts said"" there is a law between Azote and Propanol, but not sure there is a law for each relation, and it could be complex e.g., for this range it goes up and after that it goes down ... may need expertise.",1:33:25,MC,Opportunity,,,1:35:24,0.5,0.5,Y,Opportunity,Recall,Priority & Focus : Level 2 : Interesting Views,Opportunity,A_Provenance,-,Recall,,Focus & priority,Level 2 : Interesting Views,Discussion
176,CS-w,135,NB,Reported,Recall,"RECALL important provenance data they care about: dimension they consulted and selections they made these allow ""Ca suffit intelectuellment de savoir ou on a ete et pourquoi on a fait ca""",1:37:08,MC,Opportunity,,,1:37:12,1,0,Y,Reported,Recall,Interest Criteria : Level 2 : Selection,Tool Use,Tool Use,Reported,Recall,GENERAL - Load past history,Interest  zones,Level 2 : Selection,Discussion
177,CS-w,136,NB,,Bugs and Features,"If I do my own CSV, ca me demande de la 'tracabilite' in terms of what i kept and what i removed, but here when i have one csv (Active) and I add and remove things on the fly (I might not need the tracability) ...",1:39:44,,,,,0:00:00,,,N,Opportunity,Recall,Coverage : Level 2 : keep track of data files coverage,Opportunity,A_Provenance,-,Recall,,Coverage ,Level 2 : keep track of data files coverage,Discussion
178,CS-w,137,NB,Opportunity,Other Provenance Type,Coverage: keep track of data coverange in setup where user explores a subset of dimensions at a time (e.g. here keep parameters and add esters 10 at a time) or something like that ... as a measure to cope with high dimensionality.,1:39:57,,,,,0:00:00,0.5,0.5,Y,Opportunity,Recall,Coverage : Level 1 : keep track of data dimension coverage,Opportunity,A_Provenance,-,Recall,,Coverage ,Level 1: keep track  of a specific  data dimension (one),Discussion
179,CS-w,138,NB,Reported,Action Recovery,they mention that 'historique' (history album of 3) they mostly used it when they made errors (quand on s'est trompe),1:49:38,,,,,,0.5,0.5,Y,Reported,Action Recovery,Temporal Exploration Structure : Level 2 : Steps,Tool Use,Tool Use,Reported,Action Recovery,History,Exploration structure & steps,Level 1 : Steps,Discussion
180,CS-w,139,NB,-//-,-//-,-//-,1:49:38,,,,,,,,N-duplicate,,Recall,priority & focus : Level 2 : winning solutions,Opportunity-new,A_Provenance,Reported,Recall,,Focus & priority,Level 2 : Winning solutions,Discussion